director_name,num_critic_for_reviews,director_likes,actor_3_name,actor_3_likes,actor_2_name,actor_2_likes,actor_1_name,actor_1_likes,gross,Movie Name,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_likes
Richard Attenborough,95,0,John Gielgud,249,Amrish Puri,429,Candice Bergen,545,,GandhiÂ ,171726,1943,256,English,UK,PG,22000000,1982,8.1,2.35,12000
Lasse HallstrÃ¶m,180,529,Juhi Chawla,171,Charlotte Le Bon,201,Manish Dayal,820,54235441,The Hundred-Foot JourneyÂ ,52894,1484,185,English,USA,PG,22000000,2014,7.3,2.35,55000
Irwin Winkler,53,34,Ray McKinnon,287,Jeremy Northam,327,Ken Howard,649,50728000,The NetÂ ,48909,1725,166,English,USA,PG-13,22000000,1995,5.8,1.85,0
Jessie Nelson,129,24,Richard Schiff,506,Loretta Devine,912,Dianne Wiest,967,40270895,I Am SamÂ ,121937,3152,431,English,USA,PG-13,22000000,2001,7.6,1.85,15000
Christopher Spencer,61,25,Darwin Shaw,55,Amber Rose Revah,134,Roma Downey,329,59696176,Son of GodÂ ,15448,775,174,English,USA,PG-13,22000000,2014,5.6,2.35,15000
Len Wiseman,226,235,Shane Brolly,105,Kevin Grevioux,593,Sophia Myles,955,51483949,UnderworldÂ ,208092,1777,806,English,UK,R,22000000,2003,7,2.35,0
Mikael HÃ¥fstrÃ¶m,116,101,Xzibit,218,RZA,561,Denis O'Hare,896,36020063,DerailedÂ ,62584,2019,375,English,USA,R,22000000,2005,6.6,2.35,0
Steven Soderbergh,248,0,Thomas F. Wilson,690,Joel McHale,734,Matt Damon,13000,33313582,The Informant!Â ,52888,16031,175,English,USA,R,21000000,2009,6.5,1.85,0
Richard Attenborough,23,0,Julian Fellowes,266,James Frain,1000,Anthony Hopkins,12000,25842000,ShadowlandsÂ ,13455,13619,87,English,UK,PG,22000000,1993,7.4,2.35,2000
Mike Bigelow,98,2,Charles Keating,137,Eddie Griffin,489,Carlos Ponce,591,22264487,Deuce Bigalow: European GigoloÂ ,41239,1729,166,English,USA,R,22000000,2005,4.6,1.85,887
Ken Scott,168,31,Matthew Daddario,110,Bobby Moynihan,311,Jack Reynor,390,30659817,Delivery ManÂ ,59805,1006,95,English,USA,PG-13,26000000,2013,6.4,2.35,0
Paul McGuigan,159,118,Daniel Mays,287,Spencer Wilding,1000,Daniel Radcliffe,11000,5773519,Victor FrankensteinÂ ,28621,12876,91,English,USA,PG-13,40000000,2015,6,2.35,11000
Susanna White,134,24,Grigoriy Dobrygin,100,Pawel Szajda,104,Radivoje Bukvic,150,3108216,Our Kind of TraitorÂ ,2587,540,21,English,UK,R,,2016,6.4,2.35,0
Dennis Dugan,97,221,Kyle Gass,110,Neil Diamond,226,Amanda Detmer,240,19351569,Saving SilvermanÂ ,33287,664,201,English,USA,PG-13,22000000,2001,5.9,1.85,739
David Bowers,88,42,Karan Brar,517,Rachael Harris,569,Zachary Gordon,975,49002815,Diary of a Wimpy Kid: Dog DaysÂ ,15665,3153,35,English,USA,PG,22000000,2012,6.4,2.35,0
Spike Lee,85,0,Mike Starr,854,Jennifer Esposito,911,Mira Sorvino,978,19283782,Summer of SamÂ ,31227,5386,354,English,USA,R,22000000,1999,6.6,1.85,0
Kevin Smith,181,0,Jason Mewes,898,Shannon Elizabeth,1000,Will Ferrell,8000,30059386,Jay and Silent Bob Strike BackÂ ,128593,11632,867,English,USA,R,22000000,2001,6.9,2.35,0
Michael Bay,257,0,Djimon Hounsou,3000,Steve Buscemi,12000,Scarlett Johansson,19000,35799026,The IslandÂ ,263336,34838,899,English,USA,PG-13,126000000,2005,6.9,2.35,0
Daniel Sackheim,95,12,Trevor Morgan,595,Bruce Dern,844,Chris Noth,962,17951431,The Glass HouseÂ ,25462,4239,200,English,USA,PG-13,30000000,2001,5.8,2.35,804
Ethan Coen,423,1000,Alden Ehrenreich,1000,Channing Tatum,17000,Scarlett Johansson,19000,29997095,"Hail, Caesar!Â ",60926,38494,302,English,UK,PG-13,22000000,2016,6.4,1.85,23000
Harry Elfont,93,4,Aries Spears,83,Paulo Costanzo,486,Rosario Dawson,3000,14252830,Josie and the PussycatsÂ ,18900,3769,242,English,Canada,PG-13,22000000,2001,5.3,1.85,0
Gary Fleder,203,39,Frank Grillo,798,James Franco,11000,Jason Statham,26000,19783777,HomefrontÂ ,82804,39989,154,English,USA,R,22000000,2013,6.5,2.35,15000
Uli Edel,38,34,Alice Krige,368,Jim Carter,439,Richard E. Grant,554,13555988,The Little VampireÂ ,7242,2216,38,English,Germany,PG,22000000,2000,5.7,1.85,0
David O. Russell,183,737,Isabelle Huppert,678,Lily Tomlin,718,Naomi Watts,6000,12784713,I Heart HuckabeesÂ ,56813,8094,381,English,USA,R,22000000,2004,6.7,2.35,0
Fred Dekker,75,87,Mako,691,Rip Torn,826,CCH Pounder,1000,10696210,RoboCop 3Â ,35018,3148,180,English,USA,PG-13,23500000,1993,3.9,1.85,716
Brian Trenchard-Smith,18,53,Franco Nero,576,Udo Kier,595,Michael Biehn,2000,5974653,Megiddo: The Omega Code 2Â ,2253,4221,111,English,USA,PG-13,22000000,2001,4.1,1.85,158
Blake Edwards,22,688,Jeremy Kemp,42,Vernon Dobtcheff,50,Rock Hudson,638,5000000,Darling LiliÂ ,1547,788,50,English,USA,G,25000000,1970,6.2,2.35,104
Hugh Wilson,41,37,Eric Idle,795,Alex Rocco,968,Brendan Fraser,3000,9694105,Dudley Do-RightÂ ,8176,5568,77,English,USA,PG,22000000,1999,3.8,2.35,272
Camille Delamarre,148,11,Radivoje Bukvic,150,NoÃ©mie Lenoir,173,Ed Skrein,805,16027866,The Transporter RefueledÂ ,26767,1411,121,English,France,PG-13,25000000,2015,5.1,2.35,0
Laurence Dunmore,111,2,Richard Coyle,567,Jack Davenport,1000,Johnny Depp,40000,4829497,The LibertineÂ ,31433,42484,260,English,UK,R,,2004,6.4,2.35,0
Paul Verhoeven,231,719,Christian Berkel,104,Sebastian Koch,380,Michiel Huisman,2000,4398392,Black BookÂ ,59507,2590,232,Dutch,Netherlands,R,21000000,2006,7.8,2.35,0
Christian Carion,115,13,Ian Richardson,140,Dany Boon,172,Gary Lewis,203,1050445,Joyeux NoelÂ ,21394,773,147,French,France,PG-13,22000000,2005,7.8,2.35,11000
David Palmer,176,21,Beau Bridges,552,Tom Arnold,618,Bradley Cooper,14000,13746550,Hit and RunÂ ,29322,15922,104,English,USA,R,2000000,2012,6.1,2.35,0
Callie Khouri,98,144,Roger Cross,290,Ted Danson,875,Stephen Root,939,20668843,Mad MoneyÂ ,16831,2453,54,English,USA,PG-13,22000000,2008,5.8,2.35,687
Rowan Joffe,149,17,Anne-Marie Duff,231,Ben Crompton,257,Colin Firth,14000,2963012,Before I Go to SleepÂ ,48873,14617,105,English,UK,R,22000000,2014,6.3,2.35,11000
William Friedkin,84,607,Amidou,35,Joe Spinell,85,Roy Scheider,813,,SorcererÂ ,9513,1011,116,English,USA,PG,12000000,1977,7.7,1.85,0
John Curran,138,43,Frances Conroy,827,Milla Jovovich,14000,Robert De Niro,22000,1796024,StoneÂ ,34985,37766,135,English,USA,R,22000000,2010,5.4,2.35,0
Laurent Tirard,78,2,Fabrice Luchini,80,Ludivine Sagnier,521,Romain Duris,809,634277,MoliÃ¨reÂ ,5166,1651,27,French,France,PG-13,16000000,2007,7.3,2.35,815
Scott Cooper,288,108,Dendrie Taylor,120,Sam Shepard,820,Christian Bale,23000,11326836,Out of the FurnaceÂ ,83171,24134,231,English,USA,R,22000000,2013,6.8,2.35,17000
Tony Gilroy,299,209,Sydney Pollack,521,Denis O'Hare,896,Tom Wilkinson,1000,49024969,Michael ClaytonÂ ,133367,3284,363,English,USA,R,25000000,2007,7.3,2.35,0
Peter Segal,27,88,Sela Ward,812,Bradley Whitford,821,Wilford Brimley,957,22294341,My Fellow AmericansÂ ,12278,4629,71,English,USA,PG-13,21500000,1996,6.5,1.85,758
Mark Pellington,155,89,Hope Davis,442,Spencer Treat Clark,541,Jeff Bridges,12000,24362501,Arlington RoadÂ ,69980,13576,591,English,USA,R,21500000,1999,7.2,2.35,0
Juan JosÃ© Campanella,82,195,Gabriel AlmirÃ³n,0,Diego Ramos,10,Pablo Rago,20,,UnderdogsÂ ,6920,30,22,Spanish,Spain,PG,22000000,2013,6.7,2.35,0
Woody Allen,275,11000,Alessandra Mastronardi,159,Judy Davis,223,Ornella Muti,385,16684352,To Rome with LoveÂ ,67893,1205,163,English,USA,R,17000000,2012,6.3,1.85,18000
Clint Eastwood,43,16000,Kenneth Colley,216,Warren Clarke,281,Clint Eastwood,16000,46700000,FirefoxÂ ,19832,16805,98,English,USA,PG,21000000,1982,5.9,2.35,0
Trey Parker,163,406,Trey Parker,406,Eric Idle,795,Minnie Driver,893,52008288,South Park: Bigger Longer & UncutÂ ,162037,3003,928,English,USA,R,21000000,1999,7.8,1.85,0
Frank Oz,168,0,Kris Marshall,548,Ewen Bremner,557,Peter Dinklage,22000,8579684,Death at a FuneralÂ ,89547,24324,199,English,USA,R,9000000,2007,7.4,1.85,0
Stuart Gillard,60,8,Matt Hill,199,John Aylward,219,Paige Turco,533,42660000,Teenage Mutant Ninja Turtles IIIÂ ,25086,1254,87,English,USA,PG,17000000,1993,4.8,1.85,1000
Brian Robbins,85,48,DeWayne Warren,39,D.B. Sweeney,558,Keanu Reeves,18000,40219708,HardballÂ ,22649,18630,131,English,USA,PG-13,21000000,2001,6.3,1.85,0
David O. Russell,539,737,Bradley Cooper,14000,Robert De Niro,22000,Jennifer Lawrence,34000,132088910,Silver Linings PlaybookÂ ,533607,72115,692,English,USA,R,21000000,2012,7.8,2.35,117000
Richard LaGravenese,84,98,Imelda Staunton,579,Scott Glenn,826,Hunter Parrish,2000,36581633,Freedom WritersÂ ,52533,3994,235,English,Germany,PG-13,21000000,2007,7.5,1.85,10000
Tyler Perry,75,0,Kimberly Elise,637,Loretta Devine,912,Omari Hardwick,1000,37721949,For Colored GirlsÂ ,6067,6035,73,English,USA,R,,2010,6,1.85,0
Louis Leterrier,171,255,Matt Schulze,447,Qi Shu,1000,Jason Statham,26000,25296447,The TransporterÂ ,237248,27572,460,English,France,PG-13,21000000,2002,6.8,2.35,0
Jeff Wadlow,140,65,Leslie Hope,149,Neil Brown Jr.,427,Djimon Hounsou,3000,24848292,Never Back DownÂ ,80556,4089,184,English,USA,PG-13,20000000,2008,6.6,2.35,0
Katt Shea,85,52,Eddie Kaye Thomas,484,Rachel Blanchard,490,Jason London,711,17757087,The Rage: Carrie 2Â ,13065,3162,253,English,USA,R,21000000,1999,4.6,1.85,897
,5,,,,,,Chris Harrison,98,,The BachelorÂ             ,4398,98,33,English,USA,,3000000,,2.9,,141
Sam Mendes,217,0,Carmen Ejogo,374,Jim Gaffigan,472,Catherine O'Hara,925,9430988,Away We GoÂ ,45992,1997,115,English,USA,R,17000000,2009,7.1,2.35,7000
Joshua Michael Stern,131,0,Nathan Lane,886,Judge Reinhold,901,Madeline Carroll,1000,16284360,Swing VoteÂ ,15079,6212,79,English,USA,PG-13,21000000,2008,6.1,2.35,1000
Brad Silberling,111,52,Bob Clendenin,347,Holly Hunter,1000,Jake Gyllenhaal,15000,6830957,Moonlight MileÂ ,11983,16692,147,English,USA,PG-13,21000000,2002,6.7,2.35,365
Tomas Alfredson,466,140,Gary Oldman,10000,Colin Firth,14000,Benedict Cumberbatch,19000,24104113,Tinker Tailor Soldier SpyÂ ,149066,46241,517,English,France,R,20000000,2011,7.1,2.35,24000
John Duigan,16,18,Sarah Wynter,186,Jill Hennessy,419,Elaine Hendrix,670,15593,MollyÂ ,2295,1562,40,English,USA,PG-13,21000000,1999,5.8,1.85,284
Jodie Foster,276,0,Riley Thomas Stewart,220,Cherry Jones,242,Jennifer Lawrence,34000,958319,The BeaverÂ ,39764,34705,148,English,USA,PG-13,21000000,2011,6.7,2.35,17000
Colin Higgins,11,19,Dom DeLuise,842,Barry Corbin,883,Dolly Parton,1000,69700000,The Best Little Whorehouse in TexasÂ ,7748,3688,48,English,USA,R,35000000,1982,5.8,2.35,0
David Cronenberg,196,0,Callum Rennie,716,Sarah Polley,900,Jennifer Jason Leigh,1000,2840417,eXistenZÂ ,77493,2990,527,English,Canada,R,31000000,1999,6.8,1.85,6000
Steven Spielberg,234,14000,William Hootkins,488,Karen Allen,783,Harrison Ford,11000,242374454,Raiders of the Lost ArkÂ ,661017,12906,771,English,USA,PG,18000000,1981,8.5,2.35,16000
Chris Columbus,37,0,Devin Ratray,1000,Kieran Culkin,1000,Macaulay Culkin,3000,173585516,Home Alone 2: Lost in New YorkÂ ,200077,7860,189,English,USA,PG,18000000,1992,6.6,1.85,0
Steven Spielberg,171,14000,Melinda Dillon,252,Teri Garr,481,Bob Balaban,559,128300000,Close Encounters of the Third KindÂ ,139288,1591,339,English,USA,PG,19400870,1977,7.7,2.35,0
Jim Sonzero,148,2,Rick Gonzalez,807,Christina Milian,1000,Ian Somerhalder,16000,20259297,PulseÂ ,24969,19952,258,English,USA,PG-13,20000000,2006,4.7,2.35,0
Tony Scott,50,12000,Ronny Cox,605,Judge Reinhold,901,Dean Stockwell,936,153665036,Beverly Hills Cop IIÂ ,84824,4121,95,English,USA,R,28000000,1987,6.4,2.35,0
Adam Shankman,121,163,Steve Harris,338,Kimberly J. Brown,409,Angus T. Jones,1000,132541238,Bringing Down the HouseÂ ,30058,2505,236,English,USA,PG-13,33000000,2003,5.5,2.35,800
Jonathan Demme,185,438,Anthony Heald,173,Scott Glenn,826,Anthony Hopkins,12000,130727000,The Silence of the LambsÂ ,887467,13184,916,English,USA,R,19000000,1991,8.6,1.85,40000
Penelope Spheeris,61,122,Kurt Fuller,617,Lara Flynn Boyle,619,Tia Carrere,1000,121697350,Wayne's WorldÂ ,114610,4263,176,English,USA,PG-13,20000000,1992,7,1.85,0
Jeff Tremaine,156,79,Chris Pontius,218,Steve-O,362,Bam Margera,608,117224271,Jackass 3DÂ ,47794,1787,81,English,USA,R,20000000,2010,7.1,1.78,0
Jeannot Szwarc,75,82,Joseph Mascolo,85,Murray Hamilton,366,Roy Scheider,813,102922376,Jaws 2Â ,51314,1520,265,English,USA,PG,20000000,1978,5.7,2.35,0
Raja Gosnell,100,67,Ali Hillis,597,Nick Zano,641,Jamie Lee Curtis,2000,94497271,Beverly Hills ChihuahuaÂ ,17829,4729,99,English,USA,PG,20000000,2008,3.7,2.35,0
James Wan,511,0,Hayley McFarland,697,Lili Taylor,960,Mackenzie Foy,6000,137387272,The ConjuringÂ ,300110,9049,807,English,USA,R,20000000,2013,7.5,2.35,131000
Brian Levant,75,32,Jay Mohr,563,Tracy Morgan,642,Nia Long,826,82301521,Are We There Yet?Â ,22679,3558,149,English,USA,PG,32000000,2005,4.6,1.85,773
Ben Falcone,148,265,Ben Falcone,265,Mark Duplass,830,Gary Cole,989,84518155,TammyÂ ,35965,2654,144,English,USA,R,20000000,2014,4.9,1.85,11000
D.J. Caruso,253,154,Jose Pablo Cantillo,501,Aaron Yoo,617,Sarah Roemer,884,80050171,DisturbiaÂ ,186984,2287,491,English,USA,PG-13,20000000,2007,6.9,1.85,0
Richard Linklater,204,0,Mike White,487,Sarah Silverman,931,Miranda Cosgrove,2000,81257845,School of RockÂ ,210680,4403,479,English,USA,PG-13,35000000,2003,7.1,1.85,0
Paul W.S. Anderson,72,545,Bridgette Wilson-Sampras,545,Cary-Hiroyuki Tagawa,1000,Christopher Lambert,1000,70360285,Mortal KombatÂ ,81783,3816,283,English,USA,PG-13,18000000,1995,5.8,1.85,0
Paul McGuigan,98,118,Mark Camacho,40,Christopher Cousins,93,Jessica ParÃ©,489,12831121,Wicker ParkÂ ,44979,679,298,English,USA,PG-13,30000000,2004,7,2.35,0
Keenen Ivory Wayans,62,322,Brittany Daniel,861,Jaime King,960,Busy Philipps,1000,69148997,White ChicksÂ ,98794,6313,251,English,USA,PG-13,37000000,2004,5.4,1.85,0
Alexander Payne,549,729,Beau Bridges,552,Nick Krause,727,Shailene Woodley,8000,82624961,The DescendantsÂ ,205284,9578,439,English,USA,R,20000000,2011,7.3,2.35,22000
Andrew Davis,106,99,Ski Carr,165,Zane Holtz,265,Tim Blake Nelson,596,67325559,HolesÂ ,58222,1293,331,English,USA,PG,20000000,2003,7.1,1.85,0
Julie Anne Robinson,123,30,Melissa Ordway,318,Bobby Coleman,360,Kelly Preston,742,62933793,The Last SongÂ ,62421,2341,185,English,USA,PG,20000000,2010,5.8,2.35,10000
Steve McQueen,597,0,Taran Killam,500,Scoot McNairy,660,QuvenzhanÃ© Wallis,2000,56667870,12 Years a SlaveÂ ,439176,4251,695,English,USA,R,20000000,2013,8.1,2.35,83000
Charles Stone III,64,30,Jason Weaver,284,Nick Cannon,593,Leonard Roberts,962,56398162,DrumlineÂ ,28649,2390,185,English,USA,PG-13,20000000,2002,5.7,2.35,2000
Tyler Perry,40,0,Tasha Smith,721,Cicely Tyson,907,Michael Jai White,2000,60072596,Why Did I Get Married Too?Â ,7664,6657,68,English,USA,PG-13,20000000,2010,4.4,1.85,0
Tim Burton,111,13000,Conchata Ferrell,658,Dianne Wiest,967,Johnny Depp,40000,56362352,Edward ScissorhandsÂ ,357581,42330,588,English,USA,PG-13,20000000,1990,7.9,1.85,16000
Thea Sharrock,151,17,Brendan Coyle,418,Emilia Clarke,10000,Sam Claflin,11000,56154094,Me Before YouÂ ,44723,21852,130,English,UK,PG-13,20000000,2016,7.6,2.35,51000
Tyler Perry,31,0,Romeo Miller,582,Tom Arnold,618,John Amos,982,65623128,Madea's Witness ProtectionÂ ,7354,2753,50,English,USA,PG-13,20000000,2012,4.8,1.85,0
William Friedkin,138,607,Tony Lo Bianco,109,Fernando Rey,165,Roy Scheider,813,,The French ConnectionÂ ,82476,1196,280,English,USA,R,1800000,1971,7.8,1.85,0
Jon Lucas,81,24,Jada Pinkett Smith,851,Jay Hernandez,1000,Mila Kunis,15000,55461307,Bad MomsÂ ,4654,18786,46,English,USA,R,20000000,2016,6.7,,18000
Aaron Seltzer,99,64,Fred Willard,729,Carmen Electra,869,Alyson Hannigan,3000,48546578,Date MovieÂ ,50415,6539,613,English,USA,PG-13,20000000,2006,2.7,1.85,806
Robin Budd,80,2,Spencer Breslin,434,Rob Paulsen,677,Roger Rees,1000,48423368,Return to Never LandÂ ,13324,3402,79,English,USA,G,20000000,2002,5.8,1.66,302
Ava DuVernay,364,151,Oprah Winfrey,852,Tom Wilkinson,1000,David Oyelowo,1000,52066000,SelmaÂ ,61114,3869,212,English,UK,PG-13,20000000,2014,7.5,2.35,22000
Steve Trenbirth,85,0,Tony Jay,384,Phil Collins,455,Haley Joel Osment,3000,47887943,The Jungle Book 2Â ,11634,4480,58,English,USA,G,20000000,2003,5.4,1.85,227
Stephen Kay,140,19,Charles Mesure,349,Skye McCole Bartusiak,392,Barry Watson,526,46363118,BoogeymanÂ ,25960,1383,389,English,USA,PG-13,20000000,2005,4.1,1.85,1000
Mennan Yapo,184,9,Marc Macaulay,107,Amber Valletta,626,Nia Long,826,47852604,PremonitionÂ ,62364,1825,337,English,USA,PG-13,20000000,2007,5.9,2.35,0
Jun Falkenstein,89,25,Ken Sansom,16,John Fiedler,253,Kath Soucie,304,45542421,The Tigger MovieÂ ,13319,575,53,English,USA,G,30000000,2000,6.3,1.78,347
Jaume Collet-Serra,265,174,Aryana Engineer,602,CCH Pounder,1000,Jimmy Bennett,87000,41573740,OrphanÂ ,141663,88953,383,English,USA,R,,2009,7,1.85,20000
Boaz Yakin,61,132,Edgar Arreola,455,Joseph Julian Soria,465,Jay Hernandez,1000,42652003,MaxÂ ,18915,2851,87,English,USA,PG,20000000,2015,6.8,2.35,33000
,3,,Denise Boutte,295,David Mann,378,Lamman Rucker,607,,Meet the BrownsÂ             ,1922,1530,20,English,USA,,,,3.5,1.85,211
Jason Friedberg,112,82,Fred Willard,729,Carmen Electra,869,David Carradine,926,39737645,Epic MovieÂ ,89687,4293,666,English,USA,PG-13,20000000,2007,2.3,1.85,0
John Milius,166,468,Sandahl Bergman,183,Mako,691,William Smith,919,37567440,Conan the BarbarianÂ ,113068,2024,337,English,USA,R,20000000,1982,6.9,2.35,0
Tom McCarthy,474,310,Brian d'Arcy James,77,Jamey Sheridan,168,Billy Crudup,745,44988180,SpotlightÂ ,195333,1058,409,English,USA,R,20000000,2015,8.1,1.85,80000
Neil LaBute,165,119,Robert Pine,332,Justin Chambers,931,Jay Hernandez,1000,39263506,Lakeview TerraceÂ ,40469,2382,135,English,USA,PG-13,22000000,2008,6.1,2.35,0
Takashi Shimizu,131,70,Matthew Knight,464,Sarah Roemer,884,Sarah Michelle Gellar,4000,39143839,The Grudge 2Â ,38658,5746,284,English,USA,PG-13,20000000,2006,5,1.85,930
Kevin Rodney Sullivan,29,8,Barry Shabaka Henley,232,James Pickens Jr.,270,Richard Lawson,508,37672350,How Stella Got Her Groove BackÂ ,5427,1660,51,English,USA,R,20000000,1998,5.5,1.85,0
Peter Hewitt,43,12,Alex Winter,636,George Carlin,769,Keanu Reeves,18000,38037513,Bill & Ted's Bogus JourneyÂ ,49680,20188,117,English,USA,PG,20000000,1991,6.2,1.85,0
Barry Levinson,111,272,Amy Poehler,1000,Tina Fey,2000,Robin Williams,49000,37442180,Man of the YearÂ ,28005,52571,236,English,USA,PG-13,20000000,2006,6.2,2.35,0
Gary Nelson,90,20,Yvette Mimieux,160,Maximilian Schell,877,Robert Forster,889,,The Black HoleÂ ,18481,2110,230,English,USA,PG,20000000,1979,5.9,2.35,4000
Anton Corbijn,333,210,Filippo Timi,101,Thekla Reuten,191,Violante Placido,978,35596227,The AmericanÂ ,79461,1454,463,English,USA,R,20000000,2010,6.3,2.35,10000
Gregory Nava,37,16,Jacob Vargas,399,Constance Marie,441,Jon Seda,565,35422828,SelenaÂ ,19126,1735,155,English,USA,PG,20000000,1997,6.7,2.35,0
Jason Friedberg,122,82,Anneliese van der Pol,354,Dave Foley,401,Diedrich Bader,759,36658108,Vampires SuckÂ ,39095,2898,187,English,USA,PG-13,20000000,2010,3.5,1.85,16000
Alejandro G. IÃ±Ã¡rritu,285,0,Dermot Crowley,51,Harriet Walter,119,Brad Pitt,11000,34300771,BabelÂ ,243799,11248,908,English,France,R,25000000,2006,7.5,1.85,0
Shawn Levy,156,189,Jane Fonda,949,Abigail Spencer,1000,Tina Fey,2000,34290142,This Is Where I Leave YouÂ ,54242,4662,145,English,USA,R,19800000,2014,6.6,2.35,14000
John Patrick Shanley,293,53,Carrie Preston,652,Meryl Streep,11000,Philip Seymour Hoffman,22000,33422556,DoubtÂ ,99236,33903,321,English,USA,PG-13,20000000,2008,7.5,1.85,0
Trey Parker,233,406,Trey Parker,406,Maurice LaMarche,523,Jeremy Shada,860,32774834,Team America: World PoliceÂ ,136048,2609,700,English,USA,R,30000000,2004,7.2,2.35,0
John Luessenhop,282,34,Shaun Sipos,322,Keram Malicki-SÃ¡nchez,333,Gunnar Hansen,383,34334256,Texas Chainsaw 3DÂ ,35131,1945,255,English,USA,R,11000000,2013,4.8,2.35,16000
Jon Amiel,57,36,Harry Connick Jr.,631,Holly Hunter,1000,William McNamara,10000,32051917,CopycatÂ ,42315,12338,140,English,USA,R,20000000,1995,6.6,2.35,0
Malcolm D. Lee,153,92,Molly Shannon,636,Snoop Dogg,881,Marisa Saks,31000,32014289,Scary Movie 5Â ,50337,34319,177,English,USA,PG-13,20000000,2013,3.5,1.85,13000
Joshua Logan,20,32,Ray Walston,417,Lee Marvin,756,Clint Eastwood,16000,,Paint Your WagonÂ ,9352,17775,106,English,USA,PG-13,20000000,1969,6.7,2.35,0
Gus Van Sant,324,835,Lucas Grabeel,755,Denis O'Hare,896,James Franco,11000,31838002,MilkÂ ,136673,13189,281,English,USA,R,20000000,2008,7.6,1.85,10000
Kevin Reynolds,122,58,MarÃ­a Botto,47,Jan Cornet,76,Peter Firth,141,36874745,RisenÂ ,12276,389,117,English,USA,PG-13,20000000,2016,6.3,2.35,21000
Steve Beck,156,17,Francesca Rettondini,78,Ron Eldard,385,Isaiah Washington,534,30079316,Ghost ShipÂ ,75920,1083,474,English,USA,R,35000000,2002,5.5,1.85,0
Todd Strauss-Schulson,161,12,Paula GarcÃ©s,587,Thomas Lennon,651,Patton Oswalt,786,35033759,A Very Harold & Kumar 3D ChristmasÂ ,55008,2462,93,English,USA,R,19000000,2011,6.3,2.35,21000
John McNaughton,69,39,Jeff Perry,254,Robert Wagner,481,Bill Murray,13000,29753944,Wild ThingsÂ ,90677,14275,389,English,USA,R,20000000,1998,6.5,2.35,0
Nelson McCormick,121,29,Skyler Samuels,429,Paige Turco,533,Sela Ward,812,29062561,The StepfatherÂ ,23424,3292,119,English,USA,PG-13,,2009,5.6,2.35,0
John Madden,258,108,Romi Aboulafia,22,Jesper Christensen,100,Tom Wilkinson,1000,31146570,The DebtÂ ,55441,1136,165,English,USA,R,20000000,2010,6.9,2.35,0
Stephen Frears,174,350,Lisa Bonet,619,Lili Taylor,960,Drake Bell,1000,27277055,High FidelityÂ ,143137,3141,602,English,UK,R,20000000,2000,7.6,1.85,10000
Eric Valette,141,2,Margaret Cho,270,Jason Beghe,297,Johnny Lewis,741,26876529,One Missed CallÂ ,26624,1834,189,English,Japan,PG-13,27000000,2008,3.9,1.85,0
John Schlesinger,31,154,Philip Baker Hall,497,Beverly D'Angelo,816,Joe Mantegna,1000,53146000,Eye for an EyeÂ ,9845,3174,77,English,USA,R,20000000,1996,6.1,1.85,613
Roger Donaldson,222,79,Daniel Mays,287,Saffron Burrows,811,Jason Statham,26000,30028592,The Bank JobÂ ,152247,27755,189,English,UK,R,20000000,2008,7.3,2.35,0
Michel Gondry,273,1000,Tom Wilkinson,1000,Kirsten Dunst,4000,Kate Winslet,14000,34126138,Eternal Sunshine of the Spotless MindÂ ,666937,19364,1514,English,USA,R,20000000,2004,8.3,1.85,52000
Andy Fickman,91,99,Christine Lakin,518,James Wolk,938,Jamie Lee Curtis,2000,25677801,You AgainÂ ,41273,4813,136,English,USA,PG,20000000,2010,5.8,2.35,0
David Ayer,190,453,Noel Gugliemi,2000,Chris Evans,11000,Keanu Reeves,18000,26415649,Street KingsÂ ,94892,33878,189,English,USA,R,20000000,2008,6.8,2.35,0
Edgar Wright,427,1000,Jasper Levine,24,Thomas Law,55,Michael Smiley,177,26003149,The World's EndÂ ,185587,278,401,English,UK,R,20000000,2013,7,2.35,49000
Andrew Fleming,93,26,Tate Donovan,650,Laura Harring,669,Kay Panabaker,720,25584685,Nancy DrewÂ ,15877,3327,102,English,USA,PG,20000000,2007,5.9,2.35,590
Michael Spierig,292,35,Tiffany Lamb,16,Damien Garvey,37,Jay Laga'aia,125,29975979,DaybreakersÂ ,105797,189,281,English,Australia,R,20000000,2009,6.5,2.35,0
Jim Field Smith,180,14,Geoff Stults,756,Kim Shaw,934,Mike Vogel,2000,31584722,She's Out of My LeagueÂ ,101730,5707,131,English,USA,R,20000000,2010,6.4,2.35,0
Thomas Bezucha,94,15,Brett Cullen,350,Luke Bracey,775,Leighton Meester,3000,23179303,Monte CarloÂ ,32951,4257,44,English,Hungary,PG,20000000,2011,5.8,1.85,6000
William Brent Bell,112,19,Samaire Armstrong,806,Frankie Muniz,934,Adam Goldberg,1000,23078294,Stay AliveÂ ,25870,3590,281,English,USA,PG-13,9000000,2006,5.1,2.35,0
Simon Wincer,20,23,Ben Mendelsohn,748,Tom Selleck,19000,Alan Rickman,25000,21413105,Quigley Down UnderÂ ,15230,45841,97,English,Australia,PG-13,20000000,1990,6.8,2.35,0
Anthony Bell,84,0,Christine Lakin,518,Larry Miller,611,Kevin Sussman,681,25077977,Alpha and OmegaÂ ,10986,2486,84,English,USA,PG,20000000,2010,5.3,1.85,0
